project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	creation_datetime	is_ffpe	portion_number	state	weight
HCMI-CMDC	0cf7d1fe-e9c7-4e84-9497-df13ca2ed2c9	HCM-SANG-0287-C20	459eaa9f-e97f-4008-8cf6-f6671985fd30	HCM-SANG-0287-C20-10A-01D-A80T-32	1d009619-a5f3-5c0f-bf22-349028a5774b	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0cf7d1fe-e9c7-4e84-9497-df13ca2ed2c9	HCM-SANG-0287-C20	62ec2e41-acac-4449-b9fe-fd2c938cc811	HCM-SANG-0287-C20-85A-01R-A80W-32	1e544f9f-11fc-5ae5-b290-a0dc018e6b99	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0cf7d1fe-e9c7-4e84-9497-df13ca2ed2c9	HCM-SANG-0287-C20	a716e59b-6876-4c5e-85c9-a53869482d95	HCM-SANG-0287-C20-85A	52ac5478-9762-555b-876a-b450a9c6195d	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0cf7d1fe-e9c7-4e84-9497-df13ca2ed2c9	HCM-SANG-0287-C20	a716e59b-6876-4c5e-85c9-a53869482d95	HCM-SANG-0287-C20-85A	c3077024-addf-5353-bb3e-15998b4f4383	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0cf7d1fe-e9c7-4e84-9497-df13ca2ed2c9	HCM-SANG-0287-C20	fa630ad7-f709-43ca-bf5c-d3e83dd51779	HCM-SANG-0287-C20-10A	a7236e0c-decf-48c3-a977-d069436420b7	HCM-SANG-0287-C20-10A-01	1560470400	False	'--	released	'--
HCMI-CMDC	0df0db7a-b473-4643-9caf-a7c272c54c29	HCM-CSHL-0248-C19	090acb7b-8811-46dc-aeed-f2262b6809d4	HCM-CSHL-0248-C19-10A	322faea8-9574-45bb-88e8-b8c42cf0efb4	HCM-CSHL-0248-C19-10A-01	1563235200	False	'--	released	'--
HCMI-CMDC	0df0db7a-b473-4643-9caf-a7c272c54c29	HCM-CSHL-0248-C19	84aba9ee-e2f5-4e7f-bfba-3873dfe48eb4	HCM-CSHL-0248-C19-01A	df14574c-5d51-4999-ace5-ac80ac9386e5	HCM-CSHL-0248-C19-01A-11	1565568000	False	'--	released	20.0
HCMI-CMDC	0df0db7a-b473-4643-9caf-a7c272c54c29	HCM-CSHL-0248-C19	d9a4dfd4-56a2-46c3-b4e6-af6388c9b203	HCM-CSHL-0248-C19-85A	dd7b8bee-0464-5957-b58d-b77ec26588a5	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0df0db7a-b473-4643-9caf-a7c272c54c29	HCM-CSHL-0248-C19	d9a4dfd4-56a2-46c3-b4e6-af6388c9b203	HCM-CSHL-0248-C19-85A	5caf271f-8a65-5f28-b290-742855c7f685	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0e9a9e97-f0bf-4f4a-84cc-73eccfc627b1	HCM-CSHL-0376-D37	76b129b9-954b-4471-949b-e118dc778e2d	HCM-CSHL-0376-D37-85P	995f07af-59f5-5263-b862-0ed564322b85	'--	'--	'--	'--	'--	'--
